Sentences
Pemerintah akan menjalankan kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Level 3 di seluruh Indonesia selama libur Hari Natal 2021 dan Tahun Baru 2022.
"Namun untuk mencegah lonjakan kasus Covid-19 akibat liburan, pemerintah akan menerapkan PPKM Level 3 di seluruh Indonesia saat libur panjang Natal dan Tahun Baru mulai 24 Desember 2021 hingga 2 Januari 2022."
"Selain itu, kata Muhadjir, pemberlakuan PPKM Level 3 selama libur Natal-Tahun Baru sangat penting dilakukan. Pasalnya, pandemi Covid-19 di Indonesia belum selesai."
"Rencana penerapan PPKM level 3 di seluruh Indonesia pada saat Natal dan tahun baru. Ini agar dikomunikasikan dengan baik kepada masyarakat,"" kata Jokowi saat memimpin rapat terbatas Evaluasi PPKM di Istana Kepresidenan Jakarta, Senin, 22 November 2021."
"Saat ini, kasus Covid-19 di Indonesia semakin terkendali dan banyak daerah yang berstatus PPKM Level 1. Namun untuk mencegah lonjakan kasus Covid-19 akibat liburan, pemerintah akan menerapkan PPKM Level 3 di seluruh Indonesia saat libur panjang Natal dan Tahun Baru mulai 24 Desember 2021 hingga 2 Januari 2022."
Penyesuaian hari libur dan cuti bersama tahun 2021 dilakukan oleh pemerintah untuk meminimalisasi pergerakan masyarakat dalam rangka pencegahan penularan Covid-19. Lalu bagaimana nasib libur Natal dan Tahun Baru 2022?
"Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy mengatakan, pemerintah akan menerapkan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) level 3 untuk seluruh wilayah Indonesia selama libur Natal 2021 dan tahun baru 2022."
Pemerintah menghapus cuti bersama Hari Raya Natal dan tahun baru yang semula masing-masing jatuh pada akhir pekan. Penghapusan cuti bersama dilakukan untuk menekan laju penyebaran COVID-19.
"Kasmito atau Mbah Minto (74) di Demak, Jawa Tengah, yang membela diri melawan pencuri ikan di kolam yang ia jaga, dituntut dua tahun penjara oleh Jaksa Penuntut Umum (JPU). Kejari Demak menjelaskan bahwa perkara Mbah Minto merupakan tindak pidana penganiayaan berat yang menyebabkan korban luka serius."
Jepang menemukan satu kasus pertama varian Omicron di negaranya. Varian Covid-19 terbaru ini terdeteksi dari seorang pengunjung berusia 30 tahun yang baru tiba dari Namibia pada Minggu (28/11).
"Juru Bicara Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves), Jodi Mahardi, memastikan bahwa Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Jawa-Bali diperpanjang selama 14 hari"
Pemerintah akan menerapkan kebijakan PPKM level 3 di seluruh wilayah Indonesia pada 24 Desember 2021 - 2 Januari 2022. Kebijakan ini tertuang dalam Intruksi Menteri Dalam Negeri Nomor 62 Tahun 2021 tentang Pencegahan dan Penanggulangan Corona Virus Disease 2019 pada saat libur Natal 2021 dan Tahun Baru 2022 (Nataru).
"Menteri Koordinator Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD menjanjikan perbaikan Undang-undang Nomor 11 Tahun 2020 tentang Cipta Kerja tak akan sampai dua tahun seperti yang diperintahkan Mahkamah Konstitusi (MK)."
"Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan meminta masyarakat untuk tidak panik dengan munculnya varian baru Covid-19 yakni B.1.1.529 atau Omicron. Akan tetapi, menurut Luhut, masyarakat hanya perlu waspada dan mengetatkan kembali penerapan protokol kesehatan (prokes)."
"Komisi Kepolisian Nasional (Kompolnas) menilai kasus anggota Satgas Amole Brimob yang berjualan rokok di Timika, Papua, menjadi penanda bahwa kesejahteraan anggota Polri masih rendah di Indonesia."
